file,source,category,category_cn,color,removed_text
marble_flooring_01.jpg,marble-flooring/marble_flooring_01.jpg,geometric,几何拼花,黑白,Easy-Stone; Flooring series; 轻石 地花系列; NEW PRODUCT; 2024
marble_flooring_02.jpg,marble-flooring/marble_flooring_02.jpg,geometric,几何拼花,白色,001
marble_flooring_03.jpg,marble-flooring/marble_flooring_03.jpg,geometric,几何拼花,黑白,002; LSD148-D; (四片铺贴}; 302*302*1Omm; 150148; LSD148-C
marble_flooring_04.jpg,marble-flooring/marble_flooring_04.jpg,geometric,几何拼花,白/米黄,003
marble_flooring_05.jpg,marble-flooring/marble_flooring_05.jpg,geometric,几何拼花,白/灰,004; LSD137-C; (四片铺贴}; 340*340*10mm; LSD137
marble_flooring_06.jpg,marble-flooring/marble_flooring_06.jpg,geometric,几何拼花,黑白/白/绿,005
marble_flooring_07.jpg,marble-flooring/marble_flooring_07.jpg,geometric,几何拼花,白/灰/绿,006; 150134-8; (四片铺贴}; 346*400*1Omm; 150134; Design Diagram
marble_flooring_08.jpg,marble-flooring/marble_flooring_08.jpg,geometric,几何拼花,白/灰/黑白,ILANDER; 007
marble_flooring_09.jpg,marble-flooring/marble_flooring_09.jpg,geometric,几何拼花,白/灰/绿,008; LSD133-A; (四片铺贴1; 400*40O*1Omm; Design Diagram
marble_flooring_10.jpg,marble-flooring/marble_flooring_10.jpg,geometric,几何拼花,黑白,009
marble_flooring_11.jpg,marble-flooring/marble_flooring_11.jpg,geometric,几何拼花,黑白/白/灰/绿,010; L50139-8; (四片铺贴}; 400*400*1Omm; LSD139-4
marble_flooring_12.jpg,marble-flooring/marble_flooring_12.jpg,geometric,几何拼花,黑白/白,011; 卫
marble_flooring_13.jpg,marble-flooring/marble_flooring_13.jpg,geometric,几何拼花,白/绿/黑白/米黄,012; LSD140-8; (四片铺贴}; 400*400*1Omm; LSD140; LSD140-C
marble_flooring_14.jpg,marble-flooring/marble_flooring_14.jpg,geometric,几何拼花,黑白/白/绿/彩,
marble_waterjet_01.jpg,marble-waterjet/marble_waterjet_01.jpg,geometric,几何拼花,黑白,WTRIET
marble_waterjet_08.jpg,marble-waterjet/marble_waterjet_08.jpg,geometric,几何拼花,白色,
marble_waterjet_12.jpg,marble-waterjet/marble_waterjet_12.jpg,geometric,几何拼花,黑白,DER
marble_waterjet_04.jpg,marble-waterjet/marble_waterjet_04.jpg,waterjet-pattern,水刀复杂拼花,白/绿/彩,LANI; 30
marble_waterjet_05.jpg,marble-waterjet/marble_waterjet_05.jpg,waterjet-pattern,水刀复杂拼花,白/绿/彩,LUNDER; 004; LSD127; 203*362*10mm; 150127-8; Design Diagram
marble_waterjet_06.jpg,marble-waterjet/marble_waterjet_06.jpg,waterjet-pattern,水刀复杂拼花,白/灰/绿,
marble_waterjet_07.jpg,marble-waterjet/marble_waterjet_07.jpg,waterjet-pattern,水刀复杂拼花,黑白/白/绿,/006; LS0124-8; 295*284*10mm; L50124; 150124-C
marble_waterjet_09.jpg,marble-waterjet/marble_waterjet_09.jpg,waterjet-pattern,水刀复杂拼花,黑白/白/绿,LUNDER; 008; 400*400*1Omm; LSD128-C; 1S0128-0
marble_waterjet_11.jpg,marble-waterjet/marble_waterjet_11.jpg,waterjet-pattern,水刀复杂拼花,黑白/白/绿,LUNDER; 010; LSD120-C; 302*302*10mm; 150123-8
marble_waterjet_13.jpg,marble-waterjet/marble_waterjet_13.jpg,waterjet-pattern,水刀复杂拼花,黑白/白/绿,LUNDER; 012; LS0123; 300*300*10mm; 150123-8; Design Diagram
marble_waterjet_03.jpg,marble-waterjet/marble_waterjet_03.jpg,floral,花卉植物图案,白色,LS0125; 183*301*10mm; 150125-8; Design Diagram
marble_waterjet_10.jpg,marble-waterjet/marble_waterjet_10.jpg,floral,花卉植物图案,黑白,009
marble_waterjet_14.jpg,marble-waterjet/marble_waterjet_14.jpg,floral,花卉植物图案,白色,
marble_waterjet_02.jpg,marble-waterjet/marble_waterjet_02.jpg,plain,素色纹理,白/灰,
